heuristic,metric,k,rmse,mae
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",16,11.362355756172457,10.192708333333334
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",32,12.5378262774149,11.332465277777779
proposed_heuristic,"VENTO, VELOCIDADE HORARIA (m/s)",0,1.586575765594296,1.4970078065071541
first_fit_proposal,"VENTO, VELOCIDADE HORARIA (m/s)",0,1.8873582520188528,1.7649639110215647
idw,"VENTO, VELOCIDADE HORARIA (m/s)",1,1.6501730289784218,1.3972222222222224
idw,"VENTO, VELOCIDADE HORARIA (m/s)",2,1.5598794380409327,1.4547381701297084
idw,"VENTO, VELOCIDADE HORARIA (m/s)",4,2.067413287523706,1.9984771505101528
idw,"VENTO, VELOCIDADE HORARIA (m/s)",8,1.724213892837911,1.6569128805174997
idw,"VENTO, VELOCIDADE HORARIA (m/s)",16,1.7303534771878357,1.6680337644509635
idw,"VENTO, VELOCIDADE HORARIA (m/s)",32,1.6446461948068969,1.5773330634563176
knn,"VENTO, VELOCIDADE HORARIA (m/s)",1,1.6501730289784218,1.3972222222222224
knn,"VENTO, VELOCIDADE HORARIA (m/s)",2,1.5675997187625905,1.4652777777777777
knn,"VENTO, VELOCIDADE HORARIA (m/s)",4,2.153475182825185,2.086111111111111
knn,"VENTO, VELOCIDADE HORARIA (m/s)",8,1.6888104103724457,1.6173611111111112
knn,"VENTO, VELOCIDADE HORARIA (m/s)",16,1.7054462677895648,1.6392361111111111
knn,"VENTO, VELOCIDADE HORARIA (m/s)",32,1.5796446052134308,1.5067708333333332
